datestart             datestop              obsid power_cmd  si_mode  pcad_mode vid_board clocking fep_count ccd_count simpos simfa_pos pitch  ra     dec    roll   q1    q2    q3    q4   trans_keys                                      
2009:193:13:06:10.972 2009:193:13:06:14.972 10324 AA00000000 TE_00452 NMAN      1         0        5         5         75624  -716      49.63  64.64  57.52  63.77  0.61  -0.10 0.61  0.49 clocking,power_cmd                              
2009:193:13:06:14.972 2009:193:13:06:38.972 10324 WSPOW00000 TE_00452 NMAN      1         0        0         0         75624  -716      49.63  64.64  57.52  63.77  0.61  -0.10 0.61  0.49 ccd_count,clocking,fep_count,power_cmd,vid_board
2009:193:13:06:38.972 2009:193:13:07:35.859 10324 WSPOW3C83E TE_00452 NMAN      1         0        5         5         75624  -716      49.63  64.64  57.52  63.77  0.61  -0.10 0.61  0.49 ccd_count,clocking,fep_count,power_cmd,vid_board
2009:193:13:07:35.859 2009:193:13:07:41.972 10324 WSPOW3C83E TE_00452 NMAN      1         0        5         5         75624  -418      49.63  64.64  57.52  63.77  0.61  -0.10 0.61  0.49 simfa_pos                                       
2009:193:13:07:41.972 2009:193:13:07:45.972 10324 WSPOW3C83E TE_008B4 NMAN      1         0        5         5         75624  -418      49.63  64.64  57.52  63.77  0.61  -0.10 0.61  0.49 si_mode                                         
2009:193:13:07:45.972 2009:193:13:08:55.792 10324 XTZ0000005 TE_008B4 NMAN      1         1        5         5         75624  -418      49.63  64.64  57.52  63.77  0.61  -0.10 0.61  0.49 clocking,power_cmd                              
2009:193:13:08:55.792 2009:193:13:08:58.219 10324 XTZ0000005 TE_008B4 NMAN      1         1        5         5         75624  -418      51.00  67.89  61.91  57.26  0.59  -0.15 0.62  0.49 dec,pitch,q1,q2,q3,q4,ra,roll                   
2009:193:13:08:58.219 2009:193:13:14:34.360 10324 XTZ0000005 TE_008B4 NMAN      1         1        5         5         75624  -468      51.00  67.89  61.91  57.26  0.59  -0.15 0.62  0.49 simfa_pos                                       
2009:193:13:14:34.360 2009:193:13:20:12.929 10324 XTZ0000005 TE_008B4 NMAN      1         1        5         5         75624  -468      52.37  88.57  72.19  27.84  0.54  -0.27 0.65  0.46 dec,pitch,q1,q2,q3,q4,ra,roll                   
2009:193:13:20:12.929 2009:194:10:20:02.972 10324 XTZ0000005 TE_008B4 NPNT      1         1        5         5         75624  -468      52.73  102.99 74.41  10.33  0.52  -0.32 0.65  0.45 dec,pcad_mode,pitch,q1,q2,q3,q4,ra,roll         
2009:194:10:20:02.972 2009:194:10:20:13.223 10324 AA00000000 TE_008B4 NMAN      1         0        5         5         75624  -468      52.73  102.99 74.41  10.33  0.52  -0.32 0.65  0.45 clocking,pcad_mode,power_cmd                    
2009:194:10:20:13.223 2009:194:10:23:02.972 10324 AA00000000 TE_008B4 NMAN      1         0        5         5         75624  -468      53.10  102.99 74.41  10.33  0.52  -0.32 0.65  0.45 dec,pitch,q1,q2,q3,q4,ra,roll                   
2009:194:10:23:02.972 2009:194:10:23:06.972 10280 AA00000000 TE_008B4 NMAN      1         0        5         5         75624  -468      53.10  102.99 74.41  10.33  0.52  -0.32 0.65  0.45 clocking,obsid,power_cmd                        
2009:194:10:23:06.972 2009:194:10:23:10.972 10280 AA00000000 TE_008B4 NMAN      1         0        5         5         75624  -468      53.10  102.99 74.41  10.33  0.52  -0.32 0.65  0.45 clocking,power_cmd                              
2009:194:10:23:10.972 2009:194:10:23:34.972 10280 WSPOW00000 TE_008B4 NMAN      1         0        0         0         75624  -468      53.10  102.99 74.41  10.33  0.52  -0.32 0.65  0.45 ccd_count,clocking,fep_count,power_cmd,vid_board
2009:194:10:23:34.972 2009:194:10:24:37.972 10280 WSPOW08002 TE_008B4 NMAN      1         0        1         1         75624  -468      53.10  102.99 74.41  10.33  0.52  -0.32 0.65  0.45 ccd_count,clocking,fep_count,power_cmd,vid_board
2009:194:10:24:37.972 2009:194:10:24:47.019 10280 XCZ0000005 TE_008B4 NMAN      1         1        1         1         75624  -468      53.10  102.99 74.41  10.33  0.52  -0.32 0.65  0.45 clocking,power_cmd                              
2009:194:10:24:47.019 2009:194:10:29:20.815 10280 XCZ0000005 TE_008B4 NMAN      1         1        1         1         75624  -468      54.06  114.68 75.07  357.02 0.50  -0.35 0.66  0.44 dec,pitch,q1,q2,q3,q4,ra,roll                   
2009:194:10:29:20.815 2009:194:10:33:54.611 10280 XCZ0000005 TE_008B4 NMAN      1         1        1         1         75624  -468      56.05  152.25 71.84  313.84 0.45  -0.44 0.67  0.40 dec,pitch,q1,q2,q3,q4,ra,roll                   
2009:194:10:33:54.611 2009:194:10:38:28.407 10280 XCZ0000005 TE_008B4 NMAN      1         1        1         1         75624  -468      58.11  175.47 58.26  281.90 0.36  -0.56 0.67  0.33 dec,pitch,q1,q2,q3,q4,ra,roll                   
2009:194:10:38:28.407 2009:194:10:43:02.203 10280 XCZ0000005 TE_008B4 NMAN      1         1        1         1         75624  -468      59.15  180.13 47.66  271.11 0.29  -0.64 0.65  0.28 dec,pitch,q1,q2,q3,q4,ra,roll                   
2009:194:10:43:02.203 2009:194:13:34:01.953 10280 XCZ0000005 TE_008B4 NPNT      1         1        1         1         75624  -468      59.38  180.77 44.55  268.62 0.27  -0.66 0.65  0.27 dec,pcad_mode,pitch,q1,q2,q3,q4,ra,roll         
2009:194:13:34:01.953 2009:194:13:34:12.204 10280 AA00000000 TE_008B4 NMAN      1         0        1         1         75624  -468      59.38  180.77 44.55  268.62 0.27  -0.66 0.65  0.27 clocking,pcad_mode,power_cmd                    
2009:194:13:34:12.204 2009:194:13:37:01.953 10280 AA00000000 TE_008B4 NMAN      1         0        1         1         75624  -468      61.92  180.77 44.55  268.62 0.27  -0.66 0.65  0.27 dec,pitch,q1,q2,q3,q4,ra,roll                   
