datestart             datestop              dir                 
2010:134:22:00:01.285 2010:136:05:00:02.056 /2010/MAY1010/oflsa/
2010:136:11:55:00.000 2010:137:04:03:31.353 /2010/MAY1010/oflsa/
2010:137:04:02:00.000 2010:138:13:10:02.056 /2010/MAY1710/oflsa/
2010:138:16:59:01.379 2010:139:23:31:40.144 /2010/MAY1710/oflsa/
2010:140:00:56:15.793 2010:141:05:15:02.056 /2010/MAY1710/oflsa/
2010:141:11:35:00.000 2010:142:19:35:01.285 /2010/MAY1710/oflsa/
2010:142:20:27:38.489 2010:144:04:45:02.056 /2010/MAY1710/oflsa/
2010:144:11:15:00.000 2010:145:02:24:55.000 /2010/MAY1710/oflsa/
2010:145:03:40:00.000 2010:146:11:40:01.285 /2010/MAY2410/oflsb/
2010:146:13:10:01.285 2010:147:22:00:40.420 /2010/MAY2410/oflsb/
2010:148:01:15:51.515 2010:149:05:15:02.056 /2010/MAY2410/oflsb/
2010:149:11:20:00.000 2010:150:03:36:35.688 /2010/MAY2410/oflsb/
2010:151:17:27:00.000 2010:151:17:55:50.841 /2010/MAY3110/oflsb/
2010:152:04:57:00.000 2010:153:23:14:38.246 /2010/JUN0110/oflsb/
2010:154:02:27:33.895 2010:155:20:36:34.622 /2010/JUN0110/oflsb/
2010:155:21:16:47.217 2010:157:16:49:51.343 /2010/JUN0110/oflsb/
2010:157:18:50:00.000 2010:158:07:47:53.059 /2010/JUN0110/oflsb/
2010:158:07:47:00.000 2010:159:14:30:02.056 /2010/JUN0710/oflsa/
2010:159:23:00:00.000 2010:161:03:33:35.543 /2010/JUN0710/oflsa/
2010:161:06:15:26.491 2010:162:12:45:01.285 /2010/JUN0710/oflsa/
2010:162:14:15:01.285 2010:163:22:12:38.765 /2010/JUN0710/oflsa/
2010:164:00:41:34.212 2010:165:05:41:28.765 /2010/JUN0710/oflsa/
2010:165:05:38:28.765 2010:166:14:00:02.000 /2010/JUN1410/oflsa/
2010:166:15:41:31.165 2010:167:23:51:36.943 /2010/JUN1410/oflsa/
2010:168:02:49:34.718 2010:169:11:15:06.527 /2010/JUN1410/oflsa/
2010:169:12:46:22.177 2010:170:18:36:03.429 /2010/JUN1410/oflsa/
2010:170:21:23:59.078 2010:171:12:38:34.886 /2010/JUN1410/oflsa/
2010:171:12:37:00.000 2010:172:23:50:02.056 /2010/JUN2010/oflsa/
2010:173:03:45:00.000 2010:174:11:49:54.901 /2010/JUN2010/oflsa/
2010:174:13:10:00.000 2010:175:22:30:02.056 /2010/JUN2010/oflsa/
2010:176:03:15:00.000 2010:177:06:54:31.254 /2010/JUN2010/oflsa/
2010:177:13:00:00.000 2010:178:19:54:32.804 /2010/JUN2010/oflsa/
2010:178:19:51:32.804 2010:180:04:50:02.056 /2010/JUN2810/oflsa/
2010:180:08:53:48.707 2010:181:12:30:02.056 /2010/JUN2810/oflsa/
2010:181:20:10:00.000 2010:183:00:31:12.314 /2010/JUN2810/oflsa/
2010:183:18:52:57.963 2010:184:18:25:59.575 /2010/JUL0210/oflsa/
2010:185:02:20:47.575 2010:185:23:01:21.708 /2010/JUL0210/oflsa/
2010:185:22:58:21.708 2010:187:07:09:36.078 /2010/JUL0510/oflsb/
2010:187:08:41:06.066 2010:188:14:05:02.056 /2010/JUL0510/oflsb/
2010:188:21:05:00.000 2010:190:04:55:02.056 /2010/JUL0510/oflsb/
2010:190:08:52:13.573 2010:191:12:55:02.056 /2010/JUL0510/oflsb/
