ccd_count clocking datestart             datestop              dec    dither fep_count hetg letg obsid pcad_mode pitch  power_cmd  q1    q2    q3    q4   ra     roll   si_mode  simfa_pos simpos trans_keys                                       vid_board
0         0        2010:277:03:15:06.940 2010:277:03:15:30.940 16.42  None   0         RETR RETR 12171 NMAN      61.54  WSPOW00000 0.34  0.51  0.76  0.23 133.31 74.75  TE_0057A -468      75624  ccd_count,clocking,fep_count,power_cmd,vid_board 1        
3         0        2010:277:03:15:30.940 2010:277:03:16:33.940 16.42  None   3         RETR RETR 12171 NMAN      61.54  WSPOW1C00E 0.34  0.51  0.76  0.23 133.31 74.75  TE_0057A -468      75624  ccd_count,clocking,fep_count,power_cmd,vid_board 1        
3         0        2010:277:03:16:33.940 2010:277:03:16:37.940 16.42  None   3         RETR RETR 12171 NMAN      61.54  WSPOW1C00E 0.34  0.51  0.76  0.23 133.31 74.75  TE_0076A -468      75624  si_mode                                          1        
3         1        2010:277:03:16:37.940 2010:277:03:16:49.550 16.42  None   3         RETR RETR 12171 NMAN      61.54  XTZ0000005 0.34  0.51  0.76  0.23 133.31 74.75  TE_0076A -468      75624  clocking,power_cmd                               1        
3         1        2010:277:03:16:49.550 2010:277:03:21:29.908 18.36  None   3         RETR RETR 12171 NMAN      68.77  XTZ0000005 0.37  0.49  0.75  0.24 129.75 75.42  TE_0076A -468      75624  dec,pitch,q1,q2,q3,q4,ra,roll                    1        
3         1        2010:277:03:21:29.908 2010:277:03:26:10.267 23.59  None   3         RETR RETR 12171 NMAN      76.00  XTZ0000005 0.45  0.45  0.72  0.27 119.34 78.05  TE_0076A -468      75624  dec,pitch,q1,q2,q3,q4,ra,roll                    1        
3         1        2010:277:03:26:10.267 2010:277:04:41:37.546 25.32  None   3         RETR RETR 12171 NPNT      77.89  XTZ0000005 0.47  0.44  0.71  0.28 115.49 79.25  TE_0076A -468      75624  dec,pcad_mode,pitch,q1,q2,q3,q4,ra,roll          1        
3         0        2010:277:04:41:37.546 2010:277:04:44:37.546 25.32  None   3         RETR RETR 12171 NMAN      77.89  AA00000000 0.47  0.44  0.71  0.28 115.49 79.25  TE_0076A -468      -99616 clocking,pcad_mode,power_cmd,simpos              1        
3         0        2010:277:04:44:37.546 2010:277:04:44:51.091 25.32  None   3         RETR RETR 55997 NMAN      77.89  AA00000000 0.47  0.44  0.71  0.28 115.49 79.25  TE_0076A -468      -99616 obsid                                            1        
3         0        2010:277:04:44:51.091 2010:277:04:47:13.980 25.32  None   3         RETR RETR 55997 NMAN      77.94  AA00000000 0.47  0.44  0.71  0.28 115.49 79.25  TE_0076A -468      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    1        
3         0        2010:277:04:47:13.980 2010:277:04:48:40.840 25.32  None   3         RETR RETR 55997 NMAN      77.94  AA00000000 0.47  0.44  0.71  0.28 115.49 79.25  TE_0076A -991      -99616 simfa_pos                                        1        
3         0        2010:277:04:48:40.840 2010:277:04:48:44.840 25.32  None   3         RETR RETR 55997 NMAN      77.94  AA00000000 0.47  0.44  0.71  0.28 115.49 79.25  TE_0076A -991      -99616 clocking,power_cmd                               1        
3         0        2010:277:04:48:44.840 2010:277:04:48:48.840 25.32  None   3         RETR RETR 55997 NMAN      77.94  AA00000000 0.47  0.44  0.71  0.28 115.49 79.25  TE_0076A -991      -99616 clocking,power_cmd                               1        
0         0        2010:277:04:48:48.840 2010:277:04:48:51.091 25.32  None   0         RETR RETR 55997 NMAN      77.94  WSPOW00000 0.47  0.44  0.71  0.28 115.49 79.25  TE_0076A -991      -99616 ccd_count,clocking,fep_count,power_cmd,vid_board 1        
0         0        2010:277:04:48:51.091 2010:277:04:49:12.840 25.32  None   0         RETR RETR 55997 NPNT      77.95  WSPOW00000 0.47  0.44  0.71  0.28 115.49 79.25  TE_0076A -991      -99616 dec,pcad_mode,pitch,q1,q2,q3,q4,ra,roll          1        
6         0        2010:277:04:49:12.840 2010:277:04:50:15.840 25.32  None   6         RETR RETR 55997 NPNT      77.95  WSPOW3F03F 0.47  0.44  0.71  0.28 115.49 79.25  TE_0076A -991      -99616 ccd_count,clocking,fep_count,power_cmd,vid_board 1        
6         0        2010:277:04:50:15.840 2010:277:04:50:19.840 25.32  None   6         RETR RETR 55997 NPNT      77.95  WSPOW3F03F 0.47  0.44  0.71  0.28 115.49 79.25  TE_0021C -991      -99616 si_mode                                          1        
6         1        2010:277:04:50:19.840 2010:277:04:53:10.840 25.32  None   6         RETR RETR 55997 NPNT      77.95  XTZ0000005 0.47  0.44  0.71  0.28 115.49 79.25  TE_0021C -991      -99616 clocking,power_cmd                               1        
