datestart             datestop              obsid power_cmd  si_mode  pcad_mode vid_board clocking fep_count ccd_count simpos simfa_pos pitch  ra     dec    roll   q1    q2    q3    q4   trans_keys                                      
2003:299:19:23:06.685 2003:299:19:23:07.710 3713  AA00000000 TE_00452 NPNT      1         0        6         5         -99616 -716      75.33  129.12 -43.42 86.65  0.03  0.69  0.50  0.52 clocking,power_cmd                              
2003:299:19:23:07.710 2003:299:19:23:17.960 3713  AA00000000 TE_00452 NPNT      1         0        6         5         -99616 -716      75.33  129.12 -43.42 86.65  0.03  0.69  0.50  0.52 clocking,power_cmd                              
2003:299:19:23:17.960 2003:301:01:30:00.000 3713  WSPOW00000 TE_00452 NPNT      1         0        0         0         -99616 -716      75.33  129.12 -43.42 86.65  0.03  0.69  0.50  0.52 ccd_count,clocking,fep_count,power_cmd,vid_board
2003:301:01:30:00.000 2003:301:01:30:10.251 3713  WSPOW00000 TE_00452 NMAN      1         0        0         0         -99616 -716      75.33  129.12 -43.42 86.65  0.03  0.69  0.50  0.52 pcad_mode                                       
2003:301:01:30:10.251 2003:301:01:33:00.000 3713  WSPOW00000 TE_00452 NMAN      1         0        0         0         -99616 -716      78.76  129.12 -43.42 86.65  0.03  0.69  0.50  0.52 dec,pitch,q1,q2,q3,q4,ra,roll                   
2003:301:01:33:00.000 2003:301:01:35:37.359 60498 WSPOW00000 TE_00452 NMAN      1         0        0         0         -99616 -716      78.76  129.12 -43.42 86.65  0.03  0.69  0.50  0.52 obsid                                           
2003:301:01:35:37.359 2003:301:01:41:04.467 60498 WSPOW00000 TE_00452 NMAN      1         0        0         0         -99616 -716      90.91  121.66 -42.49 81.61  0.06  0.67  0.50  0.55 dec,pitch,q1,q2,q3,q4,ra,roll                   
2003:301:01:41:04.467 2003:301:01:46:31.575 60498 WSPOW00000 TE_00452 NMAN      1         0        0         0         -99616 -716      112.55 98.73  -36.13 67.10  0.15  0.57  0.49  0.65 dec,pitch,q1,q2,q3,q4,ra,roll                   
2003:301:01:46:31.575 2003:301:01:51:58.683 60498 WSPOW00000 TE_00452 NMAN      1         0        0         0         -99616 -716      134.19 75.00  -22.72 55.44  0.26  0.42  0.46  0.74 dec,pitch,q1,q2,q3,q4,ra,roll                   
2003:301:01:51:58.683 2003:301:01:57:25.791 60498 WSPOW00000 TE_00452 NMAN      1         0        0         0         -99616 -716      146.33 60.11  -10.46 51.30  0.33  0.29  0.42  0.80 dec,pitch,q1,q2,q3,q4,ra,roll                   
