datestart             datestop              obsid power_cmd  si_mode  pcad_mode vid_board clocking fep_count ccd_count simpos simfa_pos pitch  ra     dec    roll   q1    q2    q3    q4   trans_keys                                      
2010:131:05:35:22.827 2010:131:05:36:25.827 11878 WSPOW04F3E TE_00458 NPNT      1         0        5         5         90520  -536      150.45 202.81 -1.67  235.19 -0.17 0.87  -0.45 0.10 ccd_count,clocking,fep_count,power_cmd,vid_board
2010:131:05:36:25.827 2010:131:05:36:56.827 11878 WSPOW04F3E TE_00459 NPNT      1         0        5         5         90520  -536      150.45 202.81 -1.67  235.19 -0.17 0.87  -0.45 0.10 si_mode                                         
2010:131:05:36:56.827 2010:131:11:08:24.827 11878 XTZ0000005 TE_00459 NPNT      1         1        5         5         90520  -536      150.45 202.81 -1.67  235.19 -0.17 0.87  -0.45 0.10 clocking,power_cmd                              
2010:131:11:08:24.827 2010:131:11:08:35.078 11878 AA00000000 TE_00459 NMAN      1         0        5         5         75624  -536      150.45 202.81 -1.67  235.19 -0.17 0.87  -0.45 0.10 clocking,pcad_mode,power_cmd,simpos             
2010:131:11:08:35.078 2010:131:11:10:20.721 11878 AA00000000 TE_00459 NMAN      1         0        5         5         75624  -536      148.11 202.81 -1.67  235.19 -0.17 0.87  -0.45 0.10 dec,pitch,q1,q2,q3,q4,ra,roll                   
2010:131:11:10:20.721 2010:131:11:11:24.827 11878 AA00000000 TE_00459 NMAN      1         0        5         5         75624  -418      148.11 202.81 -1.67  235.19 -0.17 0.87  -0.45 0.10 simfa_pos                                       
2010:131:11:11:24.827 2010:131:11:11:28.827 11519 AA00000000 TE_00459 NMAN      1         0        5         5         75624  -418      148.11 202.81 -1.67  235.19 -0.17 0.87  -0.45 0.10 clocking,obsid,power_cmd                        
2010:131:11:11:28.827 2010:131:11:11:32.827 11519 AA00000000 TE_00459 NMAN      1         0        5         5         75624  -418      148.11 202.81 -1.67  235.19 -0.17 0.87  -0.45 0.10 clocking,power_cmd                              
2010:131:11:11:32.827 2010:131:11:11:39.481 11519 WSPOW00000 TE_00459 NMAN      1         0        0         0         75624  -418      148.11 202.81 -1.67  235.19 -0.17 0.87  -0.45 0.10 ccd_count,clocking,fep_count,power_cmd,vid_board
2010:131:11:11:39.481 2010:131:11:11:56.827 11519 WSPOW00000 TE_00459 NMAN      1         0        0         0         75624  -468      148.11 202.81 -1.67  235.19 -0.17 0.87  -0.45 0.10 simfa_pos                                       
2010:131:11:11:56.827 2010:131:11:12:59.827 11519 WSPOW08002 TE_00459 NMAN      1         0        1         1         75624  -468      148.11 202.81 -1.67  235.19 -0.17 0.87  -0.45 0.10 ccd_count,clocking,fep_count,power_cmd,vid_board
2010:131:11:12:59.827 2010:131:11:13:03.827 11519 WSPOW08002 TE_008FC NMAN      1         0        1         1         75624  -468      148.11 202.81 -1.67  235.19 -0.17 0.87  -0.45 0.10 si_mode                                         
2010:131:11:13:03.827 2010:131:11:13:27.762 11519 XTZ0000005 TE_008FC NMAN      1         1        1         1         75624  -468      148.11 202.81 -1.67  235.19 -0.17 0.87  -0.45 0.10 clocking,power_cmd                              
2010:131:11:13:27.762 2010:131:11:18:20.447 11519 XTZ0000005 TE_008FC NMAN      1         1        1         1         75624  -468      140.02 199.65 1.22   234.55 -0.16 0.87  -0.45 0.07 dec,pitch,q1,q2,q3,q4,ra,roll                   
2010:131:11:18:20.447 2010:131:11:23:13.131 11519 XTZ0000005 TE_008FC NMAN      1         1        1         1         75624  -468      131.93 190.86 9.45   233.59 0.12  -0.88 0.45  0.03 dec,pitch,q1,q2,q3,q4,ra,roll                   
2010:131:11:23:13.131 2010:131:12:50:52.880 11519 XTZ0000005 TE_008FC NPNT      1         1        1         1         75624  -468      129.81 187.71 12.41  233.56 0.11  -0.88 0.45  0.07 dec,pcad_mode,pitch,q1,q2,q3,q4,ra,roll         
2010:131:12:50:52.880 2010:131:12:51:03.131 11519 AA00000000 TE_008FC NMAN      1         0        1         1         92904  -468      129.81 187.71 12.41  233.56 0.11  -0.88 0.45  0.07 clocking,pcad_mode,power_cmd,simpos             
