datestart             datestop              obsid power_cmd  si_mode  pcad_mode vid_board clocking fep_count ccd_count simpos simfa_pos hetg letg pitch  ra     dec    roll   q1    q2    q3    q4   trans_keys                                      
2008:041:22:19:51.037 2008:042:00:13:02.631 9156  XTZ0000005 TE_004A4 NPNT      1         1        6         6         75624  -468      RETR RETR 150.37 134.19 42.73  199.22 -0.30 -0.87 0.00  0.39 dec,pcad_mode,pitch,q1,q2,q3,q4,ra,roll         
2008:042:00:13:02.631 2008:042:00:13:12.882 9156  AA00000000 TE_004A4 NMAN      1         0        6         6         92904  -468      RETR RETR 150.37 134.19 42.73  199.22 -0.30 -0.87 0.00  0.39 clocking,pcad_mode,power_cmd,simpos             
2008:042:00:13:12.882 2008:042:00:14:57.899 9156  AA00000000 TE_004A4 NMAN      1         0        6         6         92904  -468      RETR RETR 150.14 134.19 42.73  199.22 -0.30 -0.87 0.00  0.39 dec,pitch,q1,q2,q3,q4,ra,roll                   
2008:042:00:14:57.899 2008:042:00:16:02.631 9156  AA00000000 TE_004A4 NMAN      1         0        6         6         92904  -536      RETR RETR 150.14 134.19 42.73  199.22 -0.30 -0.87 0.00  0.39 simfa_pos                                       
2008:042:00:16:02.631 2008:042:00:16:06.631 9061  AA00000000 TE_004A4 NMAN      1         0        6         6         92904  -536      RETR RETR 150.14 134.19 42.73  199.22 -0.30 -0.87 0.00  0.39 clocking,obsid,power_cmd                        
2008:042:00:16:06.631 2008:042:00:16:10.631 9061  AA00000000 TE_004A4 NMAN      1         0        6         6         92904  -536      RETR RETR 150.14 134.19 42.73  199.22 -0.30 -0.87 0.00  0.39 clocking,power_cmd                              
2008:042:00:16:10.631 2008:042:00:16:34.631 9061  WSPOW00000 TE_004A4 NMAN      1         0        0         0         92904  -536      RETR RETR 150.14 134.19 42.73  199.22 -0.30 -0.87 0.00  0.39 ccd_count,clocking,fep_count,power_cmd,vid_board
2008:042:00:16:34.631 2008:042:00:17:37.631 9061  WSPOW0CF3F TE_004A4 NMAN      1         0        6         6         92904  -536      RETR RETR 150.14 134.19 42.73  199.22 -0.30 -0.87 0.00  0.39 ccd_count,clocking,fep_count,power_cmd,vid_board
2008:042:00:17:37.631 2008:042:00:17:41.631 9061  WSPOW0CF3F TE_002A4 NMAN      1         0        6         6         92904  -536      RETR RETR 150.14 134.19 42.73  199.22 -0.30 -0.87 0.00  0.39 si_mode                                         
2008:042:00:17:41.631 2008:042:00:18:27.854 9061  XTZ0000005 TE_002A4 NMAN      1         1        6         6         92904  -536      RETR RETR 150.14 134.19 42.73  199.22 -0.30 -0.87 0.00  0.39 clocking,power_cmd                              
2008:042:00:18:27.854 2008:042:00:23:42.825 9061  XTZ0000005 TE_002A4 NMAN      1         1        6         6         92904  -536      RETR RETR 149.14 130.33 41.90  205.96 -0.31 -0.86 0.04  0.40 dec,pitch,q1,q2,q3,q4,ra,roll                   
2008:042:00:23:42.825 2008:042:00:28:57.797 9061  XTZ0000005 TE_002A4 NMAN      1         1        6         6         92904  -536      RETR RETR 146.95 118.98 36.78  227.34 -0.33 -0.81 0.18  0.44 dec,pitch,q1,q2,q3,q4,ra,roll                   
2008:042:00:28:57.797 2008:042:00:34:12.769 9061  XTZ0000005 TE_002A4 NMAN      1         1        6         6         92904  -536      RETR RETR 144.13 109.33 25.77  251.63 -0.35 -0.72 0.36  0.48 dec,pitch,q1,q2,q3,q4,ra,roll                   
2008:042:00:34:12.769 2008:042:00:39:27.740 9061  XTZ0000005 TE_002A4 NMAN      1         1        6         6         92904  -536      RETR RETR 141.41 105.68 12.47  272.10 -0.35 -0.60 0.52  0.49 dec,pitch,q1,q2,q3,q4,ra,roll                   
2008:042:00:39:27.740 2008:042:00:44:42.712 9061  XTZ0000005 TE_002A4 NMAN      1         1        6         6         92904  -536      RETR RETR 139.40 106.93 -1.21  291.23 -0.34 -0.45 0.67  0.49 dec,pitch,q1,q2,q3,q4,ra,roll                   
2008:042:00:44:42.712 2008:042:00:49:57.684 9061  XTZ0000005 TE_002A4 NMAN      1         1        6         6         92904  -536      RETR RETR 138.49 110.76 -10.62 305.79 -0.33 -0.33 0.75  0.47 dec,pitch,q1,q2,q3,q4,ra,roll                   
2008:042:00:49:57.684 2008:042:02:17:37.434 9061  XTZ0000005 TE_002A4 NPNT      1         1        6         6         92904  -536      RETR RETR 138.32 112.36 -13.15 310.26 -0.32 -0.29 0.78  0.46 dec,pcad_mode,pitch,q1,q2,q3,q4,ra,roll         
2008:042:02:17:37.434 2008:042:02:17:47.685 9061  AA00000000 TE_002A4 NMAN      1         0        6         6         75624  -536      RETR RETR 138.32 112.36 -13.15 310.26 -0.32 -0.29 0.78  0.46 clocking,pcad_mode,power_cmd,simpos             
2008:042:02:17:47.685 2008:042:02:19:32.702 9061  AA00000000 TE_002A4 NMAN      1         0        6         6         75624  -536      RETR RETR 138.24 112.36 -13.15 310.26 -0.32 -0.29 0.78  0.46 dec,pitch,q1,q2,q3,q4,ra,roll                   
2008:042:02:19:32.702 2008:042:02:20:37.434 9061  AA00000000 TE_002A4 NMAN      1         0        6         6         75624  -418      RETR RETR 138.24 112.36 -13.15 310.26 -0.32 -0.29 0.78  0.46 simfa_pos                                       
2008:042:02:20:37.434 2008:042:02:20:41.434 9400  AA00000000 TE_002A4 NMAN      1         0        6         6         75624  -418      RETR RETR 138.24 112.36 -13.15 310.26 -0.32 -0.29 0.78  0.46 clocking,obsid,power_cmd                        
2008:042:02:20:41.434 2008:042:02:20:45.434 9400  AA00000000 TE_002A4 NMAN      1         0        6         6         75624  -418      RETR RETR 138.24 112.36 -13.15 310.26 -0.32 -0.29 0.78  0.46 clocking,power_cmd                              
2008:042:02:20:45.434 2008:042:02:20:51.462 9400  WSPOW00000 TE_002A4 NMAN      1         0        0         0         75624  -418      RETR RETR 138.24 112.36 -13.15 310.26 -0.32 -0.29 0.78  0.46 ccd_count,clocking,fep_count,power_cmd,vid_board
2008:042:02:20:51.462 2008:042:02:21:09.434 9400  WSPOW00000 TE_002A4 NMAN      1         0        0         0         75624  -468      RETR RETR 138.24 112.36 -13.15 310.26 -0.32 -0.29 0.78  0.46 simfa_pos                                       
