ccd_count clocking datestart             datestop              dec    dither fep_count hetg letg obsid pcad_mode pitch  power_cmd  q1    q2    q3    q4   ra     roll   si_mode  simfa_pos simpos trans_keys                                       vid_board
6         1        2009:151:01:35:10.848 2009:151:01:40:15.501 67.34  None   6         RETR RETR 10559 NMAN      60.51  XTZ0000005 0.52  -0.43 0.35  0.65 1.57   75.57  TE_0040A -468      75624  dec,pitch,q1,q2,q3,q4,ra,roll                    1        
6         1        2009:151:01:40:15.501 2009:151:01:45:20.153 82.02  None   6         RETR RETR 10559 NMAN      59.94  XTZ0000005 0.37  -0.54 0.42  0.63 62.92  4.66   TE_0040A -468      75624  dec,pitch,q1,q2,q3,q4,ra,roll                    1        
6         1        2009:151:01:45:20.153 2009:151:01:50:24.806 73.65  None   6         RETR RETR 10559 NMAN      59.70  XTZ0000005 0.25  -0.61 0.45  0.60 124.20 296.61 TE_0040A -468      75624  dec,pitch,q1,q2,q3,q4,ra,roll                    1        
6         1        2009:151:01:50:24.806 2009:151:02:44:44.557 69.79  None   6         RETR RETR 10559 NPNT      59.66  XTZ0000005 0.22  -0.63 0.46  0.59 129.21 289.60 TE_0040A -468      75624  dec,pcad_mode,pitch,q1,q2,q3,q4,ra,roll          1        
6         0        2009:151:02:44:44.557 2009:151:02:44:54.808 69.79  None   6         RETR RETR 10559 NMAN      59.66  AA00000000 0.22  -0.63 0.46  0.59 129.21 289.60 TE_0040A -468      75624  clocking,pcad_mode,power_cmd                     1        
6         0        2009:151:02:44:54.808 2009:151:02:47:44.557 69.79  None   6         RETR RETR 10559 NMAN      59.85  AA00000000 0.22  -0.63 0.46  0.59 129.21 289.60 TE_0040A -468      75624  dec,pitch,q1,q2,q3,q4,ra,roll                    1        
6         0        2009:151:02:47:44.557 2009:151:02:47:48.557 69.79  None   6         RETR RETR 10386 NMAN      59.85  AA00000000 0.22  -0.63 0.46  0.59 129.21 289.60 TE_0040A -468      75624  clocking,obsid,power_cmd                         1        
6         0        2009:151:02:47:48.557 2009:151:02:47:52.557 69.79  None   6         RETR RETR 10386 NMAN      59.85  AA00000000 0.22  -0.63 0.46  0.59 129.21 289.60 TE_0040A -468      75624  clocking,power_cmd                               1        
0         0        2009:151:02:47:52.557 2009:151:02:48:16.557 69.79  None   0         RETR RETR 10386 NMAN      59.85  WSPOW00000 0.22  -0.63 0.46  0.59 129.21 289.60 TE_0040A -468      75624  ccd_count,clocking,fep_count,power_cmd,vid_board 1        
6         0        2009:151:02:48:16.557 2009:151:02:49:19.557 69.79  None   6         RETR RETR 10386 NMAN      59.85  WSPOW1EC3F 0.22  -0.63 0.46  0.59 129.21 289.60 TE_0040A -468      75624  ccd_count,clocking,fep_count,power_cmd,vid_board 1        
6         0        2009:151:02:49:19.557 2009:151:02:49:23.557 69.79  None   6         RETR RETR 10386 NMAN      59.85  WSPOW1EC3F 0.22  -0.63 0.46  0.59 129.21 289.60 TE_002A2 -468      75624  si_mode                                          1        
6         1        2009:151:02:49:23.557 2009:151:02:49:43.140 69.79  None   6         RETR RETR 10386 NMAN      59.85  XTZ0000005 0.22  -0.63 0.46  0.59 129.21 289.60 TE_002A2 -468      75624  clocking,power_cmd                               1        
6         1        2009:151:02:49:43.140 2009:151:02:54:31.472 73.47  None   6         RETR RETR 10386 NMAN      60.89  XTZ0000005 0.25  -0.61 0.45  0.60 125.79 294.54 TE_002A2 -468      75624  dec,pitch,q1,q2,q3,q4,ra,roll                    1        
6         1        2009:151:02:54:31.472 2009:151:02:59:19.804 83.58  None   6         RETR RETR 10386 NMAN      63.21  XTZ0000005 0.35  -0.57 0.41  0.62 76.21  349.27 TE_002A2 -468      75624  dec,pitch,q1,q2,q3,q4,ra,roll                    1        
6         1        2009:151:02:59:19.804 2009:151:03:04:08.136 70.74  None   6         RETR RETR 10386 NMAN      66.26  XTZ0000005 0.50  -0.48 0.33  0.64 352.39 80.73  TE_002A2 -468      75624  dec,pitch,q1,q2,q3,q4,ra,roll                    1        
6         1        2009:151:03:04:08.136 2009:151:03:08:56.468 51.14  None   6         RETR RETR 10386 NMAN      69.29  XTZ0000005 0.62  -0.37 0.24  0.64 346.70 94.57  TE_002A2 -468      75624  dec,pitch,q1,q2,q3,q4,ra,roll                    1        
6         1        2009:151:03:08:56.468 2009:151:03:13:44.800 31.56  None   6         RETR RETR 10386 NMAN      71.56  XTZ0000005 0.73  -0.25 0.15  0.62 347.96 102.44 TE_002A2 -468      75624  dec,pitch,q1,q2,q3,q4,ra,roll                    1        
6         1        2009:151:03:13:44.800 2009:151:03:18:33.132 18.46  None   6         RETR RETR 10386 NMAN      72.58  XTZ0000005 0.78  -0.16 0.08  0.59 350.28 107.31 TE_002A2 -468      75624  dec,pitch,q1,q2,q3,q4,ra,roll                    1        
6         1        2009:151:03:18:33.132 2009:151:04:05:33.816 14.71  None   6         RETR RETR 10386 NPNT      72.78  XTZ0000005 0.80  -0.14 0.06  0.58 351.14 108.76 TE_002A2 -468      75624  dec,pcad_mode,pitch,q1,q2,q3,q4,ra,roll          1        
6         1        2009:151:04:05:33.816 2009:151:04:44:32.882 14.71  None   6         RETR RETR 10386 NPNT      72.81  XTZ0000005 0.80  -0.14 0.06  0.58 351.14 108.76 TE_002A2 -468      75624  pitch                                            1        
6         0        2009:151:04:44:32.882 2009:151:04:44:43.133 14.71  None   6         RETR RETR 10386 NMAN      72.81  AA00000000 0.80  -0.14 0.06  0.58 351.14 108.76 TE_002A2 -468      75624  clocking,pcad_mode,power_cmd                     1        
6         0        2009:151:04:44:43.133 2009:151:04:47:32.882 14.71  None   6         RETR RETR 10386 NMAN      75.28  AA00000000 0.80  -0.14 0.06  0.58 351.14 108.76 TE_002A2 -468      75624  dec,pitch,q1,q2,q3,q4,ra,roll                    1        
6         0        2009:151:04:47:32.882 2009:151:04:47:36.882 14.71  None   6         RETR RETR 10142 NMAN      75.28  AA00000000 0.80  -0.14 0.06  0.58 351.14 108.76 TE_002A2 -468      75624  clocking,obsid,power_cmd                         1        
6         0        2009:151:04:47:36.882 2009:151:04:47:40.882 14.71  None   6         RETR RETR 10142 NMAN      75.28  AA00000000 0.80  -0.14 0.06  0.58 351.14 108.76 TE_002A2 -468      75624  clocking,power_cmd                               1        
0         0        2009:151:04:47:40.882 2009:151:04:48:04.882 14.71  None   0         RETR RETR 10142 NMAN      75.28  WSPOW00000 0.80  -0.14 0.06  0.58 351.14 108.76 TE_002A2 -468      75624  ccd_count,clocking,fep_count,power_cmd,vid_board 1        
